"unitid","institution name","year","S2018_IS.Instructional staff category","S2018_IS.Grand total","S2018_IS.Grand total men","S2018_IS.Grand total women","IDX_HR"
"110662","University of California-Los Angeles","2018","All full-time instructional staff","3675","2231","1444","-2"
"123961","University of Southern California","2018","All full-time instructional staff","2444","1489","955","-2"
"126818","Colorado State University-Fort Collins","2018","All full-time instructional staff","1600","901","699","-2"
"130794","Yale University","2018","All full-time instructional staff","2927","1749","1178","-2"
"134130","University of Florida","2018","All full-time instructional staff","2734","1716","1018","-2"
"139959","University of Georgia","2018","All full-time instructional staff","2098","1270","828","-2"
"142285","University of Idaho","2018","All full-time instructional staff","599","378","221","-2"
"152080","University of Notre Dame","2018","All full-time instructional staff","1216","827","389","-2"
"155317","University of Kansas","2018","All full-time instructional staff","2381","1390","991","-2"
"157085","University of Kentucky","2018","All full-time instructional staff","1733","1036","697","-2"
"159391","Louisiana State University and Agricultural & Mechanical College","2018","All full-time instructional staff","1331","828","503","-2"
"166674","Massachusetts College of Art and Design","2018","All full-time instructional staff","114","54","60","-2"
"171100","Michigan State University","2018","All full-time instructional staff","2979","1728","1251","-2"
"172699","Western Michigan University","2018","All full-time instructional staff","871","478","393","-2"
"188030","New Mexico State University-Main Campus","2018","All full-time instructional staff","625","349","276","-2"
"190415","Cornell University","2018","All full-time instructional staff","1821","1143","678","-2"
"190594","CUNY Hunter College","2018","All full-time instructional staff","650","303","347","-2"
"197151","School of Visual Arts","2018","All full-time instructional staff","420","246","174","-2"
"207971","University of Tulsa","2018","All full-time instructional staff","356","226","130","-2"
"215062","University of Pennsylvania","2018","All full-time instructional staff","2129","1346","783","-2"
"218663","University of South Carolina-Columbia","2018","All full-time instructional staff","1667","933","734","-2"
"225511","University of Houston","2018","All full-time instructional staff","1485","891","594","-2"
"228778","The University of Texas at Austin","2018","All full-time instructional staff","2906","1687","1219","-2"
"230728","Utah State University","2018","All full-time instructional staff","1007","619","388","-2"
"236948","University of Washington-Seattle Campus","2018","All full-time instructional staff","4279","2366","1913","-2"
"240444","University of Wisconsin-Madison","2018","All full-time instructional staff","3513","2106","1407","-2"
"240453","University of Wisconsin-Milwaukee","2018","All full-time instructional staff","1068","548","520","240453"
"366368","New York Academy of Art","2018","All full-time instructional staff","7","5","2","-2"
