"unitid","institution name","year","S2018_NH.Staff category","S2018_NH.Grand total","S2018_NH.Grand total men","S2018_NH.Grand total women","IDX_HR"
"110662","University of California-Los Angeles","2018","Instructional staff","399","219","180","-2"
"123961","University of Southern California","2018","Instructional staff","112","60","52","-2"
"126818","Colorado State University-Fort Collins","2018","Instructional staff","78","35","43","-2"
"130794","Yale University","2018","Instructional staff","177","85","92","-2"
"134130","University of Florida","2018","Instructional staff","222","121","101","-2"
"139959","University of Georgia","2018","Instructional staff","116","73","43","-2"
"142285","University of Idaho","2018","Instructional staff","22","14","8","-2"
"152080","University of Notre Dame","2018","Instructional staff","107","59","48","-2"
"155317","University of Kansas","2018","Instructional staff","206","134","72","-2"
"157085","University of Kentucky","2018","Instructional staff","122","56","66","-2"
"159391","Louisiana State University and Agricultural & Mechanical College","2018","Instructional staff","98","50","48","-2"
"166674","Massachusetts College of Art and Design","2018","Instructional staff","8","2","6","-2"
"171100","Michigan State University","2018","Instructional staff","159","71","88","-2"
"172699","Western Michigan University","2018","Instructional staff","44","18","26","-2"
"188030","New Mexico State University-Main Campus","2018","Instructional staff","32","17","15","-2"
"190415","Cornell University","2018","Instructional staff","104","58","46","-2"
"190594","CUNY Hunter College","2018","Instructional staff","47","15","32","-2"
"197151","School of Visual Arts","2018","Instructional staff","10","7","3","-2"
"207971","University of Tulsa","2018","Instructional staff","30","12","18","-2"
"215062","University of Pennsylvania","2018","Instructional staff","148","85","63","-2"
"218663","University of South Carolina-Columbia","2018","Instructional staff","132","57","75","-2"
"225511","University of Houston","2018","Instructional staff","76","43","33","-2"
"228778","The University of Texas at Austin","2018","Instructional staff","258","124","134","-2"
"230728","Utah State University","2018","Instructional staff","106","56","50","-2"
"236948","University of Washington-Seattle Campus","2018","Instructional staff","280","129","151","-2"
"240444","University of Wisconsin-Madison","2018","Instructional staff","196","107","89","-2"
"240453","University of Wisconsin-Milwaukee","2018","Instructional staff","36","17","19","240453"
